initial_id t "\dot h_1(t+1)" "\dot h_2(t+1)" "\dot \psi_1(t+1)" "\dot \psi_2(t+1)"
1 0 -549.312 0 0.729665 2.85143
1 1 -549.312 0 0.729665 2.85143
1 2 -549.312 0 0.729665 2.85143
1 3 -549.312 0 0.729665 2.85143
1 4 -549.312 0 0.729665 2.85143
1 5 -549.312 0 0.729665 3.08331
1 6 -549.312 0 0.729665 3.08331
1 7 -549.312 0 0.729665 3.08331
1 8 -549.312 0 0.729665 3.08331
1 9 -549.312 0 0.784773 3.08331
1 10 -549.312 0 0.784773 3.08331
1 11 -549.312 0 0.784773 3.08331
1 12 -549.312 0 0.784773 3.08331
1 13 -549.312 0 3.10914 3.08331
1 14 -549.312 0 3.10914 1.99663
1 15 -549.312 0 3.10914 1.99663
1 16 -549.312 0 0.363883 1.99663
1 17 -549.312 0 0.363883 1.99663
1 18 -549.312 0 0.363883 1.99663
1 19 -549.312 0 0.363883 1.99663
1 20 -549.312 0 0.363883 1.99663
1 21 -549.312 0 0.265137 1.99663
1 22 -549.312 0 0.265137 3.15686
1 23 -549.312 0 0.265137 0.314621
1 24 -549.312 0 0.536476 0.314621
1 25 -549.312 0 0.536476 0.314621
1 26 -549.312 0 0.536476 0.314621
1 27 -549.312 0 0.536476 0.314621
1 28 -549.312 0 0 0.314621
1 29 -549.312 0 0 0.314621
1 30 0 0 0 0.314621
1 31 0 0 0 0.314621
1 32 0 0 0 0.314621
1 33 0 0 -0.770881 0.314621
1 34 0 0 -0.770881 0.314621
1 35 0 0 -0.770881 0.314621
1 36 0 0 -0.770881 0.314621
1 37 0 0 -2.33164 0.314621
1 38 0 0 -2.33164 0.314621
1 39 0 0 -2.33164 0.314621
1 40 0 0 -2.33164 0.314621
1 41 0 0 -2.33164 0.314621
1 42 0 0 -2.33164 0.314621
1 43 0 0 -2.64831 0.314621
1 44 0 0 -2.64831 0.314621
1 45 0 0 -2.64831 0.314621
1 46 0 0 -2.64831 0.314621
1 47 0 0 -2.64831 1.48306
1 48 0 0 -2.64831 1.48306
1 49 0 0 -2.64831 1.48306
2 0 0 0 0 0.681068
2 1 0 0 0 0.681068
2 2 0 0 0 0.681068
2 3 0 0 0 0.681068
2 4 0 0 0 0.681068
2 5 0 0 0 0.681068
2 6 0 0 0 0.681068
2 7 0 0 0 0.681068
2 8 0 0 0 0.681068
2 9 0 0 0 0.681068
2 10 0 0 0 0.681068
2 11 0 0 0 0.681068
2 12 0 0 0 0.681068
2 13 0 0 0 0.681068
2 14 0 0 0 0.681068
2 15 0 0 0 0.681068
2 16 0 0 0 0.681068
2 17 0 0 0 0.681068
2 18 0 0 0 0.681068
2 19 0 0 0 0.681068
2 20 0 0 0 0.681068
2 21 0 0 0 0.681068
2 22 0 0 0 0.681068
2 23 0 0 0 0.681068
2 24 0 0 0 0.330373
2 25 0 0 0 0
2 26 0 0 0 0
2 27 0 0 0 0
2 28 0 0 0 0
2 29 0 0 0 0
2 30 0 0 0 0
2 31 0 0 0 0
2 32 0 0 0 0
2 33 0 0 0 0
2 34 0 0 0 0
2 35 0 0 0 0
2 36 0 0 0 0
2 37 0 0 0 0
2 38 0 0 0 0
2 39 0 0 0 0
2 40 0 0 0 0
2 41 0 0 0 0
2 42 0 0 0 0
2 43 0 0 0 0
2 44 0 0 0 0
2 45 0 0 0 0
2 46 0 0 0 0
2 47 0 0 0 0
2 48 0 0 0 0
2 49 0 0 0 0
3 0 0 0 0.641096 0
3 1 0 0 0.641096 0
3 2 0 0 0.641096 0
3 3 0 0 0.641096 0
3 4 0 0 0.641096 -0.926824
3 5 0 0 0.641096 -0.926824
3 6 0 0 0.641096 -0.652857
3 7 0 0 0.641096 0
3 8 0 0 0.641096 0
3 9 0 0 0.641096 0
3 10 0 0 0.641096 0.837428
3 11 0 0 0.641096 0.837428
3 12 0 0 0.641096 0
3 13 0 0 0.733502 0
3 14 0 0 0.733502 0
3 15 0 0 0.733502 0
3 16 0 0 0.733502 0
3 17 0 0 0 0
3 18 0 0 0 0
3 19 0 0 0 0
3 20 0 0 0 0
3 21 0 0 0 0
3 22 0 0 0 -0.859113
3 23 0 0 0 -0.859113
3 24 0 0 0 -0.859113
3 25 0 0 0 0
3 26 0 0 0 0
3 27 0 0 0 0
3 28 0 0 0 0
3 29 0 0 0 -0.517077
3 30 0 0 0 -0.517077
3 31 0 0 0 -0.606294
3 32 0 0 0 -0.606294
3 33 0 0 0 -0.606294
3 34 0 0 0 -0.606294
3 35 0 0 0.427087 -0.606294
3 36 0 0 0.427087 -0.606294
3 37 0 0 0.427087 -0.606294
3 38 0 0 0.427087 -0.606294
3 39 0 0 0.427087 0
3 40 0 0 0.427087 0
3 41 0 0 0.427087 0
3 42 0 0 0.427087 0
3 43 0 0 0.427087 0
3 44 0 0 0.427087 0
3 45 0 0 0.427087 0
3 46 0 0 0.427087 0
3 47 0 0 0.427087 0
3 48 0 0 0.427087 0
3 49 0 0 0.427087 0
